wk,tr,nc,stg
75,1573655,96,1
76,1573655,108,1
77,1573655,107,1
78,1573655,68,1
79,1573655,99,1
80,1573655,87,1
81,1573655,100,1
82,1573655,92,1
83,1573655,133,1
84,1573655,256,1
85,1573655,336,1
86,1573655,328,1
87,1573655,180,1
88,1573655,252,1
89,1573655,272,1
90,1573655,236,1
91,1573655,136,1
92,1573655,144,1
93,1573655,148,1
94,1573655,204,1
95,1573655,388,1
96,1573655,412,1
97,1573655,812,1
98,1573655,720,1
99,1573655,544,1
100,1573655,544,1
101,1573655,640,1
102,1573655,928,1
103,1573655,880,1
104,1573655,912,1
0,1871354,0,1
1,1871354,0,1
2,1871354,0,1
3,1871354,0,1
4,1871354,0,1
5,1871354,0,1
6,1871354,0,1
7,1871354,0,1
8,1871354,0,1
9,1871354,0,1
10,1871354,0,1
11,1871354,0,1
12,1871354,1,1
13,1871354,0,1
14,1871354,0,1
15,1871354,0,1
16,1871354,1,1
17,1871354,0,1
18,1871354,0,1
19,1871354,0,1
20,1871354,1,1
21,1871354,0,1
22,1871354,2,1
23,1871354,7,1
24,1871354,1,1b
25,1871354,1,1b
26,1871354,0,1
27,1871354,0,1
28,1871354,1,1
29,1871354,3,1
30,1871354,1,1b
31,1871354,0,1b
32,1871354,0,1
33,1871354,0,1
34,1871354,0,1
35,1871354,0,1
36,1871354,1,1
37,1871354,1,1
38,1871354,0,1
39,1871354,0,1
40,1871354,0,1
41,1871354,0,1
42,1871354,1,1
43,1871354,0,1
44,1871354,0,1
45,1871354,0,1
46,1871354,4,1
47,1871354,5,1b
48,1871354,2,2
49,1871354,0,1b
50,1871354,1,1b
51,1871354,1,1b
52,1871354,0,1
53,1871354,36,1
54,1871354,71,1
55,1871354,130,1
56,1871354,209,1
57,1871354,228,1
58,1871354,260,1
59,1871354,300,1
60,1871354,352,1
61,1871354,572,1
62,1871354,1072,1
63,1871354,1504,1
64,1871354,2224,1
65,1871354,3520,1b
66,1871354,3776,2
67,1871354,3072,3
68,1871354,1536,4
69,1871354,256,4
70,1871354,368,3
71,1871354,92,3
72,1871354,92,2
73,1871354,56,2
74,1871354,73,1b
75,1871354,89,1b
76,1871354,105,1
77,1871354,145,1
